Unnamed: 0,report_id,date_coded,url,file,screenshot,date_posted,format,transcript,summary_content,type,comment_type,sharer_faketype,external_verification,links_verification,evidence_fake,watermark,likes,views,comments,shares,original_source_name,original_source_type,original_source_actor_type,original_source_country,sharer_name,sharer_type,sharer_job,high_impact_comment,sharer_country,sharer_city,target_name,target_one_name,target_one_sentiment,target_one_type_macro,target_one_type_micro,target_one_country,target_two_name,target_two_sentiment,target_two_type_macro,target_two_type_micro,target_two_country,target_type_macro,target_type_micro,target_country,deepfake_content_depicts,harm_depicted,social_policy_sector,context_deepfake,text_around_deepfake,harm_evidence,communication_goal,core_frame,hero,villain,plot,moral,domain,year,total_engagement,incident_id,base_incident_id_original,image_full_path,is_kept_image,is_duplicate_version,duplicate_of_incident_id,duplicate_set_id,represents_images,dominant_emotion,dominant_emotion_score,secondary_emotion,secondary_emotion_score
23,105,2023-11-19,https://twitter.com/nocontextfre/status/1638306997274591235,105.jpg (https://v5.airtableusercontent.com/v3/u/38/38/1741348800000/QTDVzSho7538m_BFtl4KRQ/x5gHpChdw38-1hxUR0rlOfFIhk1TdtztluW27hwDckkj_z_TXZuE_JZSnc-tK_NZemDeORPt8kzUoIx7ylvZh4um2ncKB2y-PPcaHroU9RNCOupIu47Tm5xYTXWMNbMzPeaZHQO43j4rKOFvAtg_WA/9FTLo7r5b_Z-FNonGuYYjAZ9ncS-APszZDdgCevcXmI),,2023-03-21,image,,President Macron is running through the street with crowds surrounding him and smoke plumes in the backgroun.,deepfake,,unclear,verified_fake,https://www.euronews.com/culture/2023/03/23/how-ai-is-putting-president-macron-at-the-heart-of-the-french-pension-protests ,Missing hands and some faces in the crowd are distorted.,no,39000.0,3300000.0,230.0,5000.0,No Context French,unclear_unknown,unclear_unknown,France,No Context French,"high_impact_user,non-identifiable",unclear_unknown,193.4K Followers,France,unknown,Emmanuel Macron,Emmanuel Macron,Negative,individual,politician,France ,,,,,,individual,politician,France ,"scandal,war_violence,crisis_event",violence,military_public_safety_govt,President Macron was the target of social unrest in France this past March due to the unpopularity of the retirement reforms. ,,non_identifiable,satire,"responsibility,conflict",The Crowds Protesting Against Macron.,Macron,People are protesting against Macron.,Some people do not support Macron.,twitter.com,2023.0,3344230.0,121,121,/content/drive/MyDrive/CSM 2025/images_no_sc/121.jpeg,True,False,,,,anger,0.87541616,surprise,0.08693859
24,106,2023-11-19,https://twitter.com/nocontextfre/status/1638306997274591235/photo/2,106.jpg (https://v5.airtableusercontent.com/v3/u/38/38/1741348800000/vJndc6Yu6fn9fIQ6Fgd4Hw/-GoVVXZbWN1CpneMgXvCkyEPSwqpnXevdxAumgTOfKGO8hq1kLgwTMpGxkifOog0tT8oCjnTpn9Fc0KismAOMLFdpw6YLczjmUzGzgkFrHcVrMXAcbmRLnjU7affcpZNbt8RLO6_7046mpibJTrwzQ/bAdm_fFiGEBt4Vm78oYNIDLy16ZIhdQ8LWvq5TtQdGI),,2023-03-21,image,,"Macron is near unruly crowds who are trying to reach him, and he is being protected by riot police.",deepfake,,unclear,verified_fake,https://www.euronews.com/culture/2023/03/23/how-ai-is-putting-president-macron-at-the-heart-of-the-french-pension-protests,Macron and some people in the crowd have distorted hands.,no,39000.0,3300000.0,230.0,5000.0,No Context French,unclear_unknown,unclear_unknown,France,No Context French,"non-identifiable,high_impact_user",unclear_unknown,193.4K,France,unknown,Emmanuel Macron,Emmanuel Macron,Negative,individual,politician,France ,,,,,,individual,politician,France ,"scandal,crisis_event,war_violence",violence,military_public_safety_govt,There were many protests in France during this past March due to the unpopular pension reforms.,,non_identifiable,satire,"responsibility,conflict",The Crowds Protesting Against Macron.,Macron,"Macron is in the middle of a protest against him, and it is turning violent.",Macron is viewed by some as unpopular.,twitter.com,2023.0,3344230.0,122,122,/content/drive/MyDrive/CSM 2025/images_no_sc/122.jpeg,True,False,,1.0,['131'],neutral,0.9689892,sadness,0.017541794
27,108,2023-11-19,https://twitter.com/Cyphertux/status/1638565971311964160/photo/1,108.jpg (https://v5.airtableusercontent.com/v3/u/38/38/1741348800000/dTqF7HhCJWgXcXw-U8oVLA/vylxOyePugYTN0mAgiUDRNJEaPdk7e10cXiU10dFJnyU9GHfvGMtOkkyyzxz92NrHAaeQtadfpeOW5G4uUjw_lIkl5N6Yn7kISYq9d7UGaisDfr4dQ05MqGlSaeLwzSEnByi5Dyix1Rw6vxdYKu1RQ/1oYXOnaBVsLFFwt02lO-hOwe_kX8zbtCWIaN0x6EMzE),,2023-03-22,image,,Macron is posing in a street in front of a burning car. There are crowds watching from the side.,deepfake,,fake,verified_fake,https://fullfact.org/online/AI-macron-picture-france-riots/ ,Macron and the fire behind him appear animated and cartoon-like.,no,309.0,53500.0,2.0,52.0,CypherTux,unclear_unknown,unclear_unknown, NA,CypherTux,non-identifiable,unclear_unknown,,unknown ,unknown,Emmanuel Macron,Emmanuel Macron,Negative,individual,politician,France ,,,,,,individual,politician,France ,"crisis_event,war_violence","property,violence",military_public_safety_govt,There was considerable unrest in France during March 2023 due to unpopular pension reforms.,,violence,"satire,harm_violence,harm_reputation","conflict,responsibility",Protestors,Macron,Macron is facing the protestors who have gathered against him. ,Macron is unpopular with some French citizens.,twitter.com,2023.0,53863.0,124,124,/content/drive/MyDrive/CSM 2025/images_no_sc/124.jpeg,True,False,,2.0,['219'],neutral,0.371329495,sadness,0.219011987
25,107,2023-11-19,https://twitter.com/nocontextfre/status/1638306997274591235/photo/3,107.jpg (https://v5.airtableusercontent.com/v3/u/38/38/1741348800000/eheoKWxNkZnk6BQ0gn7vYQ/8zlI2WwuoROrSR_xbw2EUMkx64I5JvBLGO6sHce4nji_twJto4vrrIhM2R5A75VuEeeW84_oYiBqH31bkT5GxMaDEdu7uNSnjOhACdkJD-hRZTbRT5crHxoQsT9c60hIuXIEcgP5DhBb9R4t6KoDmA/wJ65ub7t2xbjBHxAbckh1F481g967vaKEC94doxSSi0),,2023-03-21,image,,"President Macron is running through a cloud of smoke, with people running behind him.",deepfake,,unclear,verified_fake,https://www.euronews.com/culture/2023/03/23/how-ai-is-putting-president-macron-at-the-heart-of-the-french-pension-protests,Macron's hand is distorted.,no,39000.0,3300000.0,230.0,5000.0,No Context French,unclear_unknown,unclear_unknown,France,No Context French,"non-identifiable,high_impact_user",unclear_unknown,193.4K Followers,France,unknown,Emmanuel Macron,Emmanuel Macron,Negative,individual,politician,France ,,,,,,individual,politician,France ,"crisis_event,war_violence",violence,military_public_safety_govt,There were many protests in France this past March due to unpopular pension reforms.,,non_identifiable,satire,"conflict,responsibility",Protestors,Macron,Crowds are protesting against Macron.,Macron is unpopular in France.,twitter.com,2023.0,3344230.0,123,123,/content/drive/MyDrive/CSM 2025/images_no_sc/123.jpeg,True,False,,3.0,['132'],anger,0.7275397,surprise,0.22464344
29,110,2023-11-19,https://twitter.com/Cyphertux/status/1638586176427761665/photo/1,110.jpg (https://v5.airtableusercontent.com/v3/u/38/38/1741348800000/APCVkPbvHpPOEUtI01XH5g/AWYq5NQXLkSwhRUW_pej82JGXeJT-kXqSm2Qmwv8EZVinwL6uYsCq7YKjaOvTKkYYQaWLqDZsnV1pXDL2ztuU40hRSPSGRRRKkEBxzBfbO-C7IoXUynNW_sGNFniwQkRHC8jejzFL2zJpMQ3sgYQfA/FRpPpVh4S2NbErvmWzc9I4VYyupGt_NLTG2wHJg7afs),,2023-03-22,image,,"Macron is standing in a street, in front of crowds and burning rubble.",deepfake,,fake,verified_fake,https://uk.news.yahoo.com/ai-putting-president-macron-heart-100443739.html?,"The sharer included #manifestation in the post to imply that it is not real, but they want it to be. ",no,96.0,43300.0,3.0,9.0,CypherTux,unclear_unknown,unclear_unknown, NA,CypherTux,non-identifiable,unclear_unknown,,unknown ,unknown,Emmanuel Macron,Emmanuel Macron,Negative,individual,politician,France ,,,,,,individual,politician,France ,"war_violence,crisis_event","violence,property",military_public_safety_govt,There were many protests in France during March of 2023 due to the unpopularity of pension reforms.,#manifestation,violence,"satire,harm_violence,harm_reputation","responsibility,conflict",Protestors,Macron,Protestors are standing against Macron and his unpopular policies.,Macron is unpopular and should have to face his displeased citizens.,twitter.com,2023.0,43408.0,126,126,/content/drive/MyDrive/CSM 2025/images_no_sc/126.jpeg,True,False,,,,neutral,0.47217193999999996,surprise,0.40275437999999997
28,109,2023-11-19,https://twitter.com/Cyphertux/status/1638565971311964160/photo/2,109.jpg (https://v5.airtableusercontent.com/v3/u/38/38/1741348800000/cXk-he6MTCvOmm3PhjMKcA/u61raGnUYrUdTxCQTn6LPESLe7b4RBlbIfnubKCBEPL4wrpyTCJooNFs_tHaAQAPXEliFJqUHkZevGqb2pLP5J-UTSEBYJoKuLaj6pEgar42jt0cgzTfsux3WwGA1tE_wWm1wlkMEP2QYQqnf-Ls6Q/k49UvHV4vLgdXwOZE6t2bP4QfxVyXbDpIgQ7jK9IAU4),,2023-03-22,image,,"Macron is posing in the street, in front of crowds and burning rubble. ",deepfake,,fake,verified_fake,"https://fullfact.org/online/AI-macron-picture-france-riots/
https://uk.news.yahoo.com/ai-putting-president-macron-heart-100443739.html?",,no,309.0,53500.0,2.0,52.0,Cyphertux,unclear_unknown,unclear_unknown, NA,CypherTux,non-identifiable,unclear_unknown,,unknown ,unknown,Emmanuel Macron,Emmanuel Macron,Negative,individual,politician,France ,,,,,,individual,politician,France ,"crisis_event,war_violence","violence,property",military_public_safety_govt,There were many protests in France in March of 2023 due to the unpopularity of pension reforms.,Later in the thread posted by CyphterTux: #manifestation ,violence,"satire,harm_violence,harm_reputation","responsibility,conflict",Protestors,Macron,Protestors have assembled against Macron.,Macron is unpopular with some French citizens. ,twitter.com,2023.0,53863.0,125,125,/content/drive/MyDrive/CSM 2025/images_no_sc/125.jpeg,True,False,,4.0,['220'],neutral,0.61990379,sadness,0.1064751735
34,114,2023-11-27,https://twitter.com/Cyphertux/status/1638823203412779008/photo/4,Fr5FBGoXwAA202v.jpg (https://v5.airtableusercontent.com/v3/u/38/38/1741348800000/rTmr8lleEgPs75qmqeY0DQ/YVC5Kpz63QXlITWIeL5VfYbKaoePjhuK_4fO3xB618ithmnjWjvtNkwHX0S0Q7hOXurqOz4DpcxouRFKELKrZWI1lgwNc0d7YiKfDMRi3HuBtCYjk6KFDm3z-cTXArNk3AVLHjCI9_2om-0asZ2oXA/fUi_uyJx-nBwiQ8-29BMHMRtFJSAmxFaXSf2QqrGHHw),,2023-03-23,image,,"President Macron appears to be in an office of some sort, dressed as the Joker. ",deepfake,,unclear,authenticity_disputed,"The sharer used the hashtag #midjourney, implying that the image was created with that software. However, I could not find an outside source to verify this. ",,no,17.0,3100.0,1.0,7.0,,unclear_unknown,unclear_unknown, NA,CypherTux,non-identifiable,"random_user,unclear_unknown",,unknown ,unknown,Emmanuel Macron,Emmanuel Macron,Negative,individual,politician,France ,,,,,,individual,politician,France ,scandal,non-identifiable,military_public_safety_govt,In March of 2023 there was a lot of social unrest and protests happening in France due to unpopular pension reforms happening.,"#midjourney x #macron x #joker 🃏👑, #manifestation",violence,"satire,entertainment,harm_reputation","human_interest,morality",Those Against Macron,Macron/ The Joker,President Macron is shown to be dressed as the Joker.,Macron is seen by some people to be a villain.,twitter.com,2023.0,3125.0,134,134,/content/drive/MyDrive/CSM 2025/images_no_sc/134.jpeg,True,False,,5.0,['215'],anger,0.8677931,sadness,0.056985624
31,111,2023-11-19,https://twitter.com/Cyphertux/status/1638823203412779008/photo/1,111.jpg (https://v5.airtableusercontent.com/v3/u/38/38/1741348800000/O9LPhA8rYsgDbC2brrId7g/FuhZGwspJnn8Q8V4aH6cFxUF0ACDgJc1DTBXvPJTaoHsNUxWw28baxGOdUTTIZ7f1sp50wcgTS4kt5-Wynw39U0cF2CWHWY9BNB2iNPVk7ocPRNtecksjNrn4xfhSs3u9MBFB2809dxtgQsTRyOikQ/cNA8nEGnoLu3kcRb49DxRBurxXx_JxRRUFOLjnZlO2Y),,2023-03-23,image,,President Macron is dressed as the Joker.,deepfake,,unclear,verified_fake,"The caption posted with the image says, ""#midjourney x #macron x #joker"", implying that Midjourney was used to create this deepfake.",,no,17.0,3142.0,1.0,7.0,CypherTux,unclear_unknown,unclear_unknown, NA,CypherTux,non-identifiable,unclear_unknown,,unknown ,unknown,Emmanuel Macron,Emmanuel Macron,Negative,individual,politician,France ,,,,,,individual,politician,France ,scandal,non-identifiable,military_public_safety_govt,"During the time that this image was posted, there was a lot of protesting happening in France due to the unpopular pension reforms happening at the time.",#midjourney x #macron x #joker 🃏👑,non_identifiable,"satire,harm_reputation",responsibility,Comparing Macron To The Joker.,Macron,Macron is shown dressed as the Joker. ,Macron is seen by some to be untrustworthy and a villain.,twitter.com,2023.0,3167.0,127,127,/content/drive/MyDrive/CSM 2025/images_no_sc/127.jpeg,True,False,,6.0,['212'],anger,0.6157672,happiness,0.18237244
36,116,2023-11-27,https://twitter.com/EliotHiggins/status/1637927681734987777/photo/1,FrsWiwRXwAAi6Qq.jpg (https://v5.airtableusercontent.com/v3/u/38/38/1741348800000/f2N6h4lqnFXFe1Q-N-aJFQ/SRx-lWEV1F7nMZu8CwgNCvy6jg1w3pg3rrbF_nRL9EuBhVtsDEoAZ61NBidnYlonCsT8-uXxJsw2q1xaZLtsazodul0-WE7Dqe__fWyn0QXRW_keLSP5OcN8HdUwMmpm254akr-i6rXbze6fvYJKmg/qKmb6F2d9_ffp57SGHveqebEEZQY6x5_WQRqTApNsjU),,2023-03-20,image,,"Police are attempting to arrest Trump, who is resisting arrest. ",deepfake,,fake,verified_fake,https://www.washingtonpost.com/politics/2023/03/22/trump-arrest-deepfakes/ This article shares information that confirms Eliot Higgins made these images using AI. ,The writing on the police officers' hats and Trumps hair. ,no,39000.0,6700000.0,1800.0,7500.0,Eliot Higgins,individual,Private or Non-Governmental Organization, NA,Eliot Higgins ,"individual,high_impact_user",journalist,308.4K followers,unknown ,unknown,Donald Trump ,Donald Trump,Negative,individual,politician,United States of America,,,,,,individual,politician,United States of America,"scandal,crime",violence,military_public_safety_govt,Donald Trump is facing many different legal battles related to crimes that took place during his presidency and the January 6th insurrection. ,"Making pictures of Trump getting arrested while waiting for Trump's arrest.
",violence,"satire,entertainment,harm_reputation",conflict,The Police Arresting Trump,Donald Trump,Trump is resisting arrest by police. ,Trump believes he should not be getting arrested because he feels he is innocent and he is above the law.,twitter.com,2023.0,6748300.0,136,136,/content/drive/MyDrive/CSM 2025/images_no_sc/136.jpeg,False,True,317_2,7.0,,,,,
32,112,2023-11-19,https://twitter.com/Cyphertux/status/1638823203412779008/photo/2,Fr5FBGrWAAExV0x.jpg (https://v5.airtableusercontent.com/v3/u/38/38/1741348800000/Y3DV8jK0Enu5MfjMKoXRMw/HRscTeAOQbK9h4wTZC4JtCdVHrXfI6CbU2qTFDUy4jj8zVeNIvDDdh-HMstfShp0Yj1Zl9RDlEhtX2EywD8xSqrjsLCxT_1Y8RBXqDRkvMmYAVSB7p52xVsMiYRW_o_vZRuOVadaYxcAueehbkwqHw/xsQ5Vl1J_FYsAzjPETChC2If9QWoUxqNTRq_F5pfycA),,2023-03-23,image,,President Macron is standing in a dark hallway and is dressed like the Joker. ,deepfake,"One of his buttons is distorted, and his eyes look very uneven.",unclear,authenticity_disputed,"External sources verifying that it is fake cannot be found, but the user included #midjounrey in the post, implying that it could be fake. ","One of his buttons is distorted, and his eyes look very uneven.",no,17.0,3100.0,1.0,7.0,CypherTux,unclear_unknown,unclear_unknown, NA,CypherTux,non-identifiable,unclear_unknown,,unknown ,unknown,Emmanuel Macron,Emmanuel Macron,Negative,individual,politician,France ,,,,,,individual,politician,France ,scandal,non-identifiable,military_public_safety_govt,"During March of 2023, there were many protests happening in France against Macron and his unpopular pension reforms.",#midjourney x #macron x #joker 🃏👑,non_identifiable,"satire,harm_reputation,harm_emotional_psychological",human_interest,Those Who Oppose Macron And/Or His Policies.,Macron,Macron is shown dressed in costume as the Joker.,Macron is comparable to a criminal or a villain. ,twitter.com,2023.0,3125.0,128,128,/content/drive/MyDrive/CSM 2025/images_no_sc/128.jpeg,False,True,213,8.0,,,,,
